search offers	0	e0b676768628d898a14808aa0e61db4eeed667985627fdea1adbbb1b99a879d8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	usage: vastai search offers [--help] [--api-key API_KEY] [--raw] <query>
self-test machine	0	2241c6a8000f18d4bf2216fcd95c71a28d0a55bbdaa916e4685e52d9a7227e6b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	usage: vastai self-test machine <machine_id> [--debugging] [--ignore-requirements] [--test-image IMAGE] [--port-scan-timeout SECONDS]
set api-key	0	accc02854661fbbdd6f23c5677aaa061fde7fd452493b087e3dc599bd567c8b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	usage: vastai set api-key APIKEY
set defjob	0	3b204e3ac69973246754694bc4743d7bc8181713cdadca2cbd19c3525d2d612f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	usage: vastai set defjob id [--api-key API_KEY] [--price_gpu PRICE_GPU] [--price_inetu PRICE_INETU] [--price_inetd PRICE_INETD] [--image IMAGE] [--args ...]
set min-bid	0	ddd5594941742c826807b4f7e77aee9c6532b43acb946f0d6ecd87809573a6a4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	usage: vastai set min_bid id [--price PRICE]
show api-keys	0	954c97067a8d487fbb902fb920fcbb47ef270324de0a900c672035892fb0428c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	usage: vastai show api-keys
show audit-logs	0	1092aa6e8888fc30f543c9f80c1736d0ccd790e256290348df78913d0cebb2b1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	usage: vastai show audit-logs [--api-key API_KEY] [--raw]
show earnings	0	d10c5047aef07c03a93f4ad327c9222f5a97420ec049ac28bb5236d1006fe05a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	usage: vastai show earnings [OPTIONS]
show machine	0	b694e8c1f4e65f74d0e381fea9314b90fd457d35bf5b2a22e0b555d22d75d499	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	usage: vastai show machine ID [OPTIONS]
show machines	0	990f61dc3fe4fe1e36d4520295dd3eeeb5c4b5658625ba0b4744a8cee21c51c7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	usage: vastai show machines [OPTIONS]
show maints	0	f5a5cbc252b9cb73d9887a25bce729d23a61b8cb30eeaf041238fa7ba0fbd949	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	usage: vastai show maints --ids 'machine_id_1[,machine_id_2,...]' [OPTIONS]
show members	0	9fcb5aab50777aefa8d722b83767bde208a37f5ba6e9b6e30c10e620694ef3be	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	usage: vastai show members
show team-role	0	1f5a8e6f2072b1bda971ba7edff97276d3ff9698ea6b00b881a6b49e74d8663e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	usage: vastai show team-role NAME
show team-roles	0	f008b487d45c1373d5b6c2831933ef59bf894493e6f0f0fd47394d8e272a9828	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	usage: vastai show team-roles
show user	0	ccab33ef33a0fa80dc8a820bddac457ff4ebbd6888b38888ba84945ebf6230e8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	usage: vastai show user [OPTIONS]
unlist machine	0	858a5bb47349fd669ea0fdd68a49fd4841c07d275f6181820a1e0a68935316c1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	usage: vastai unlist machine <id>
unlist volume	0	7f6148699e5dc528eafcd27690d25eb9a69dbcbae422bd776af029d65ff36955	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	usage: vastai unlist volume ID
update team-role	0	91bca31eb39534200608dd06f5c172ac9e836081e68ca1c0e289b60166e6509c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	usage: vastai update team-role ID --name NAME --permissions PERMISSIONS
